,target,ConstrPattern
4075,направить 3.3,Snom V Sacc Vinf
4076,направить 3.4,Snom V Sacc {ADV / PRкуда + Sx} Sins
4077,направить 3.5,Snom V Sacc {ADV / PRкуда + Sx} за + Sins
4078,направить 4.1,Snom V Sacc {в + Sacc / на + Sacc}
4079,направить 5.1,Snom V Sacc
4080,направить 6.1,Snom V Sacc
4081,направиться 1.1,Snom V {ADV / PRкуда + Sx}
4082,направиться 2.1,Snom V на + Sacc
4083,напрячь 1.2,Snom V Sacc
4084,напрячь 2.1,Snom V Sacc
4085,нарушить 1.1,Snom V Sacc
4086,нарушить 2.1,Snom V Sacc
4087,наслаждаться 1.1,Snom V
4088,наслаждаться 1.4,Snom V Sins
4089,наслаждаться 1.2,Snom V Conj + CL
4090,насмехаться 1.1,Snom V
4091,насмехаться 1.2,Snom V над + Sins
4092,настать 1.1,Snom V
4093,настоять1 1.1,Snom V
4094,настоять1 1.2,Snom V на + Sacc
4095,настоять1 1.3,Snom V чтобы + CL
4096,настоять2 1.1,Snom V Sacc
4097,настоять2 1.2,Snom V Sacc на + Sloc
4098,настроить 1.1,Snom V Sacc
4099,настроить 2.1,Snom V Sacc
4100,настроить 2.2,Snom V Sacc на + Sacc
4101,настроить 3.1,Snom V Sacc против + Sgen
4102,настроить 3.2,Snom V Sacc в + пользу + Sgen
4103,наступать 3.1,Snom V
4104,наступать 3.2,Snom V от + Sgen
4105,наступать 3.3,Snom V на + Sacc
4106,наступать 4.1,Snom V на + Sacc
4107,наступать 5.1,Snom V на + Sacc
4108,наступить1 1.1,Snom V на + Sacc
4109,наступить1 1.2,Snom V на + Sacc Sdat
4110,наступить1 1.3,Snom V на + Sacc Sins
4111,наступить1 2.1,Snom V на + Sacc
4112,наступить2 1.1,Snom V
4113,натереть 1.1,Snom V Sacc
4114,натереть 1.2,Snom V Sacc Sdat
4115,натереть 1.3,Snom V Sacc Sins
4116,натереть 1.4,Snom V Sacc Sins
4117,натереть 2.1,Snom V {Sacc / Spart}
4118,натереть 3.1,Snom V Sacc
4119,натереть 3.2,Snom V Sacc Sdat
4120,натереть 4.1,Snom V Sacc
4121,натереть 4.2,Snom V Sacc себе
4122,натолкнуться 1.1,Snom V на + Sacc
4123,натолкнуться 2.1,Snom V на + Sacc
4124,находиться 1.1,Snom V {ADV / PRгде + Sx}
4125,находиться 2.1,Snom V PRгде + Sx
4126,начать 1.1,Snom V Sacc
4127,начать 1.2,Snom V Vinf
4128,начать 1.3,Vimpers Vinf
4129,начать 1.4,Snom V Sacc {Sins / с + Sgen}
4130,начать 2.1,Snom V Sacc
4131,начаться 1.1,Snom V
4132,начаться 1.2,Snom V {Sins / с + Sgen}
4133,начаться 2.1,Snom V {ADV / PRгде + Sx}
4134,начаться 2.2,Snom V с + Sgen
4135,недоставать 1.1,Sgen Vimpers
4136,недоставать 1.2,Sgen Vimpers {ADV / PRгде + Sx}
4137,недоставать 2.1,Sgen Vimpers
4138,недоставать 2.2,Sgen Vimpers {Sdat / у + Sgen}
4139,недоставать 3.1,Sdat Vimpers Sgen
4140,нездоровиться 1.1,Sdat Vimpers
4141,ненавидеть 1.1,Snom V Sacc
4142,ненавидеть 1.2,Snom V Sacc за + Sacc
4143,нести 1.1,Snom V Sacc
4144,нести 1.2,Snom V Sacc {ADV / PRоткуда + Sx}
4145,нести 1.3,Snom V Sacc {ADV / PRкуда + Sx}
4146,нести 1.4,Snom V Sacc Sdat
4147,нести 1.5,Snom V Sacc в + Sloc
4148,нести 1.6,Snom V Sacc на + Sloc
4149,нести 2.1,Snom V Sacc
4150,нести 2.2,Snom V Sacc {ADV / PRкуда + Sx}
4151,нести 2.3,Snom V Sacc PRтраект + Sx
4152,нести 3.1,Snom V Sacc
4153,нести 3.2,Snom V Sacc {ADV / PRкуда + Sx}
4154,нести 3.3,Snom V Sacc PRтраект + Sx
4155,нести 4.1,Snom V Sacc Sdat
4156,нести 4.2,Snom V Sacc в + Sacc
4157,нести 5.1,Snom V Sacc
4158,нести 5.2,Snom V Sacc Sdat
4159,нести 6.1,{ADV / PRоткуда + Sx} Vimpers Sins
4160,нести 7.1,от + Sgen Vimpers Sins
4161,нести 8.1,Snom V Sacc в + Sloc
4162,нести 9.1,Snom V Sacc
4163,нести 11.1,Snom V Sacc
4164,нестись 1.1,Snom V
4165,нестись 1.2,Snom V {ADV / PRоткуда + Sx}
4166,нестись 1.3,Snom V {ADV / PRкуда + Sx}
4167,нестись 1.4,Snom V PRтраект + Sx
4168,нестись 1.5,Snom V на + Sacc
4169,нестись 1.6,Snom V Vinf
4170,нестись 2.1,Snom V {ADV / PRоткуда + Sx}
4171,нестись 3.1,Snom V по + Sdat
4172,нестись 3.2,Snom V над + Sins
4173,нестись 4.1,Snom V
4174,нестись 4.2,Snom V Sins
4175,нестись 5.1,Snom V
4176,носить 1.1,Snom V Sacc
4177,носить 1.2,Snom V Sacc {ADV / PRоткуда + Sx}
4178,носить 1.3,Snom V Sacc {ADV / PRкуда + Sx}
4179,носить 1.4,Snom V Sacc PRтраект + Sx
4180,носить 1.5,Snom V Sacc Sdat
4181,носить 1.6,Snom V Sacc в + Sloc
4182,носить 1.7,Snom V Sacc на + Sloc
4183,носить 2.1,Snom V Sacc
4184,носить 2.2,Snom V Sacc по + Sdat
4185,носить 3.1,Snom V Sacc
4186,носить 3.2,Snom V Sacc по + Sdat
4187,носить 3.3,Sacc Vimpers по + Sdat
4188,носить 4.1,Snom V Sacc
4189,носить 5.1,Snom V {Aacc + Sacc / Sacc -> Sgen}
4190,носить 6.1,Snom V Sacc
4191,носить 7.1,Snom V Sacc
4192,носить 8.1,Snom V Sacc в + Sloc
4193,носиться 1.1,Snom V
4194,носиться 3.1,Snom V {ADV / PRгде + Sx}
4195,носиться 2.1,Snom V по + Sdat
4196,носиться 1.7,Snom V {в + Sloc / на + Sloc}
4197,носиться 1.4,Snom V PRоткуда + Sx PRкуда + Sy
4198,носиться 5.1,Snom V ADV
4199,ночевать 1.2,Snom V
4200,ночевать 1.1,Snom V {ADV / PRгде + Sx}
4201,нравиться 1.1,Snom V Sdat
4202,нравиться 1.2,Sdat Vimpers Vinf
4203,нравиться 1.3,Sdat Vimpers Conj + CL
4204,нравиться 1.4,Snom V Sdat Sins
4205,нуждаться 1.1,Snom V
4206,нуждаться 2.1,Snom V в + Sloc
4207,нюхать 1.1,Snom V Sacc
4208,нюхать 2.1,Snom V Sacc
4209,обвинить 1.1,Snom V Sacc
4210,обвинить 2.1,Snom V Sacc в + Sloc
4211,обвинить 3.1,Snom V
4212,обдумать 1.1,Snom V Sacc
4213,обдумать 1.2,Snom V Rel + CL
4214,обдумать 1.3,Snom V CLi
4215,обедать 1.1,Snom V
4216,обедать 1.2,Snom V {ADV / PRгде + Sx}
4217,обедать 1.3,Snom V {ADV / PR + Sx}
4218,обедать 1.4,Snom V Sins
4219,обернуться 1.1,Snom V
4220,обернуться 1.2,Snom V {ADV / PRкуда + Sx}
4221,обернуться 1.3,Snom V на + Sacc
4222,обернуться 1.4,Snom V {ADV / PRкуда + Sx} Sins
4223,обернуться 2.1,Snom V ADV
4224,обернуться 2.2,Snom V Sins
4225,обернуться 3.1,Snom V Sins
4226,обернуться 4.1,Snom V за + Sacc
4227,обернуться 5.1,Snom V вокруг + Sgen
4228,обернуться 6.1,Snom V {ADV / PR + Sx}
4229,обернуться 7.1,Snom V
4230,обернуться 7.2,Snom V с + Sins
4231,обеспечить 1.1,Snom V Sacc
4232,обеспечить 1.2,Snom V Sacc Sins
4233,обеспечить 2.1,Snom V Sacc
4234,обеспечить 2.2,Snom V чтобы + CL
4235,обеспечить 2.3,Snom V Sacc Sdat
4236,обеспечить 3.1,Snom V Sacc
4237,обещать 1.1,Snom V
4238,обещать 1.2,Snom V Vinf
4239,обещать 1.3,Snom V что + CL
4240,обещать 1.4,Snom V {Vinf / что + CL} Sdat
4241,обещать 2.1,Snom V Sacc Sdat
4242,обещать 3.1,Snom V Sacc
4243,обещать 3.2,Snom V Vinf
4244,обещать 4.1,Snom V Sacc
4245,обидеть 1.1,Snom V Sacc
4246,обидеть 1.2,Snom V Sacc за + Sacc
4247,обидеть 1.3,Snom V Sacc Sins
4248,обидеть 2.1,Snom V Sacc
4249,обидеть 3.1,Snom V Sacc Sins
4250,обидеться 1.1,Snom V
4251,обидеться 1.2,Snom V на + Sacc
4252,обижаться 1.3,Snom V за + Sacc [на + Sacc]
4253,обладать 1.1,Snom V Sins
4254,обладать 2.1,Snom V Sins
4255,обладать 3.1,Snom V Sins
4256,облегчить 1.1,Snom V Sacc
4257,облегчить 1.2,Snom V Sacc на + Sacc
4258,облегчить 2.1,Snom V Sacc
4259,облегчить 3.1,Snom V Sacc
4260,облегчить 4.1,Snom V Sacc
4261,облегчить 4.2,Snom V Sacc Sdat
4262,облегчить 5.1,Snom V Sacc
4263,облететь 1.1,Snom V {Sacc / вокруг + Sgen}
4264,облететь 2.1,Snom V Sacc
4265,облететь 3.1,Snom V Sacc
4266,облететь 4.1,Snom V Sacc
4267,облететь 5.1,Snom V
4268,облететь 5.2,Snom V с + Sgen
4269,облететь 6.1,Snom V
4270,облить 1.1,Snom V Sacc
4271,облить 1.2,Snom V Sacc Sins
4272,облить 2.1,Snom V Sacc Sins
4273,облить 3.1,Snom V Sacc Sins
4274,обмануть 1.1,Snom V
4275,обмануть 1.2,Snom V Sacc
4276,обмануть 2.1,Snom V Sacc
4277,обмануть 3.1,Snom V Sacc
4278,обнаружить 1.1,Snom V Sacc
4279,обнаружить 1.2,Snom V Sacc {ADV / PRгде + Sx}
4280,обнаружить 2.1,Snom V Sacc
4281,обнаружить 3.1,Snom V Sacc
4282,обнаружить 3.2,Snom V что + CL
4283,обнаружить 3.3,Snom V Rel + CL
4284,обнаружить 3.4,Snom V Sacc в + Sloc
4285,обнять 1.1,Snom V Sacc
4286,обнять 1.2,Snom V Sacc за + Sacc
4287,обнять 1.3,Snom V Sacc Sins
4288,обнять 2.1,Snom V Sacc
4289,обнять 2.2,Snom V Sacc Sins
4290,обняться 1.1,Snom V
4291,обняться 1.2,Snom V за + Sacc
4292,обняться 1.3,Snom V с + Sins
4293,обобщить 1.1,Snom V
4294,обобщить 1.2,Snom V Sacc
4295,обобщить 2.1,Snom V Sacc
4296,обобщить 2.2,Snom V Sacc на + Sacc
4297,обогатить 1.1,Snom V Sacc
4298,обогатить 2.1,Snom V Sacc
4299,обогатить 2.2,Snom V Sacc Sins
4300,обогатить 3.1,Snom V Sacc
4301,обогатить 3.2,Snom V Sacc Sins
4302,обогатиться 1.1,Snom V
4303,обогатиться 1.2,Snom V за + счет + Sgen
4304,обогатиться 2.1,Snom V Sins
4305,обогатиться 3.1,Snom V
4306,обогатиться 3.2,Snom V Sins
4307,обогреть 1.1,Snom V Sacc
4308,обогреть 1.2,Snom V Sacc Sins
4309,обогреть 2.1,Snom V Sacc
4310,обозначать 1.1,Snom V Sacc
4311,обозначать 1.2,Snom V Sacc через + Sacc
4312,обозначать 1.3,Snom V Sacc Sins
4313,обозначать 2.1,Snom V Sacc
4314,обозначать 3.1,Snom V Sacc
4315,обозначать 4.1,Snom V что + CL
4316,обойти 1.1,Snom V {Sacc / вокруг + Sacc}
4317,обойти 1.2,Snom V Sacc с + Sgen
4318,обойти 2.1,Snom V Sacc
4319,обойти 2.2,Snom V Sacc с + Sgen
4320,обойти 3.1,Snom V Sacc
4321,обойти 3.2,Snom V Sacc ADV
4322,обойти 3.3,Snom V Sacc за + Sacc
4323,обойти 4.1,Snom V Sacc
4324,обойти 5.1,Snom V Sacc
4325,обойти 5.2,Snom V Sacc по + Sdat
4326,обойти 5.3,Snom V Sacc Sins
4327,обойти 6.1,Snom V Sacc
4328,обойти 6.2,Snom V Sacc в + Sloc
4329,обойти 7.1,Snom V Sacc
4330,обойти 7.2,Snom V Sacc в + Sloc
4331,обойти 8.1,Snom V Sacc
4332,обойтись 1.1,Snom V с + Sins
4333,обойтись 1.2,Snom V с + Sins ADV
4334,обойтись 2.1,Snom V {ADV / в + Sacc}
4335,обойтись 2.2,Snom V {ADV / в + Sacc} Sdat
4336,обойтись 3.1,Snom V без + Sgen
4337,обойтись 3.2,Snom V Sins
4338,обойтись 4.1,Snom V {ADV / без + Sgen}
4339,обойтись 4.2,Vimpers без + Sgen
4340,оборудовать 1.1,Snom V Sacc
4341,оборудовать 1.2,Snom V Sacc под + Sacc
4342,оборудовать 1.3,Snom V Sacc Sins
4343,оборудовать 2.1,Snom V Sacc
4344,обосновать 1.1,Snom V Sacc
4345,обосновать 1.2,Snom V Sacc Sins
4346,обострить 1.1,Snom V Sacc
4347,обострить 2.1,Snom V Sacc
4348,обработать 1.1,Snom V Sacc
4349,обработать 1.2,Snom V Sacc Sins
4350,обработать 1.3,Snom V Sacc на + Sloc
4351,обработать 2.1,Snom V Sacc
4352,обработать 2.2,Snom V Sacc Sins
4353,обработать 3.1,Snom V Sacc
4354,обработать 3.2,Snom V Sacc Sins
4355,обработать 4.1,Snom V Sacc
4356,обработать 5.1,Snom V Sacc
4357,обработать 6.1,Snom V Sacc
4358,образовать 1.1,Snom V Sacc
4359,образовать 1.2,Snom V Sacc из + Sgen
4360,образовать 2.1,Snom V Sacc
4361,образовать 3.1,Snom V Sacc
4362,образоваться 1.1,Snom V
4363,образоваться 2.1,Snom V
4364,образоваться 2.2,Snom V из + Sgen
4365,образоваться 3.1,Snom V
4366,обратить 1.1,Snom V Sacc {ADV / PRкуда + Sx}
4367,обратить 1.2,Snom V Sacc PRкуда + Sx Sins
4368,обратить 2.1,Snom V Sacc {ADV / PRкуда + Sx}
4369,обратить 3.1,Snom V Sacc к + Sdat
4370,обратить 4.1,Snom V Sacc в + Sacc
4371,обратить 5.1,Snom V Sacc в + Sacc
4372,обратиться 1.1,Snom V Sins к + Sdat
4373,обратиться 2.1,Snom V {к + Sdat / в + Sacc}
4374,обратиться 2.2,Snom V {к + Sdat / в + Sacc} за + Sins
4375,обратиться 2.3,Snom V {к + Sdat / в + Sacc} с + Sins
4376,обратиться 3.1,Snom V к + Sdat
4377,обратиться 3.2,Snom V к + Sdat на + «Snom»
4378,обратиться 3.3,Snom V к + Sdat с + Sins
4379,обратиться 3.4,Snom V к + Sdat «CL»
4380,обратиться 4.1,Snom V {ADV / PRкуда + Sx}
4381,обратиться 5.1,Snom V к + Sdat
4382,обратиться 6.1,Snom V {на + Sacc / против + Sgen}
4383,обратиться 7.1,Snom V в + Sacc
4384,обратиться 8.1,Snom V в + Sacc
4385,обратиться 9.1,Snom V с + Sins
4386,обратиться 9.2,Snom V ADV с + Sins
4387,обратиться 10.1,Snom V
4388,обратиться 10.2,Snom V за + Sacc
4389,обследовать 1.1,Snom V Sacc
4390,обследовать 2.1,Snom V Sacc
4391,обслуживать 1.1,Snom V Sacc
4392,обслуживать 2.1,Snom V Sacc
4393,обстрелять 1.1,Snom V Sacc
4394,обстрелять 1.2,Snom V Sacc из + Sgen
4395,обстрелять 1.3,Snom V Sacc Sins
4396,обстрелять 2.1,Snom V Sacc
4397,обсудить 1.1,Snom V Sacc
4398,обсудить 1.2,Snom V Rel + CL
4399,обсудить 1.3,Snom V CLi
4400,обсудить 1.4,Snom V {Sacc / Rel + CL / CL} PRгде + Sx
4401,обсудить 1.5,Snom V {Sacc / Rel + CL / CL} с + Sins
4402,обусловить 1.1,Snom V Sacc
4403,обусловить 1.2,Snom V Sacc Sins
4404,обусловить 2.1,Snom V Sacc
4405,обучаться 1.1,Snom V {ADV / PRгде + Sx}
4406,обучаться 1.2,Snom V у + Sgen
4407,обучаться 1.3,Snom V Sdat
4408,обучаться 1.4,Snom V по + Sdat
4409,обучаться 1.5,Snom V Vinf
4410,обучить 1.1,Snom V Sacc
4411,обучить 1.2,Snom V Sacc {ADV / PRгде + Sx}
4412,обучить 1.3,Snom V Sacc Sdat
4413,обучить 1.4,Snom V Sacc по + Sdat
4414,обучить 1.5,Snom V Sacc Vinf
4415,общаться 1.1,Snom V
4416,общаться 1.2,Snom V с + Sins
4417,объединить 2.1,Snom V Sacc
4418,объединить 1.2,Snom V Sacc в + Sacc
4419,объединиться 1.1,Snom V
4420,объединиться 1.2,Snom V вокруг + Sgen
4421,объединиться 1.3,Snom V в + Sacc
4422,объединиться 1.4,Snom V в + Sloc
4423,объехать 1.1,Snom V {Sacc / вокруг + Sgen}
4424,объехать 1.2,Snom V Sacc на + Sloc
4425,объехать 2.1,Snom V Sacc
4426,объехать 2.2,Snom V Sacc ADV
4427,объехать 2.3,Snom V Sacc за + Sacc
4428,объехать 3.1,Snom V Sacc
4429,объехать 3.2,Snom V Sacc на + Sloc
4430,объехать 4.1,Snom V Sacc
4431,объехать 5.1,Snom V Sacc
4432,объявить 1.1,Snom V Sacc
4433,объявить 1.2,Snom V о + Sloc
4434,объявить 1.3,Snom V что + CL
4435,объявить 1.4,Snom V Rel + CL
4436,объявить 1.5,Snom V «CL»
4437,объявить 1.6,Snom V {Sacc / о + Sloc / что + CL / Rel + CL / «CL»} Sdat
4438,объявить 2.1,Snom V Sacc
4439,объявить 2.2,Snom V Sacc Sdat
4440,объявить 3.1,Snom V Sacc Ains
4441,объявить 3.2,Snom V Sacc Sins
4442,объяснить 1.1,Snom V Sacc
4443,объяснить 1.2,Snom V что + CL
4444,объяснить 1.3,Snom V Rel + CL
4445,объяснить 1.4,Snom V CLi
4446,объяснить 1.5,Snom V {Sacc / что + CL / Rel + CL / CL} Sdat
4447,объяснить 2.1,Snom V Sacc
4448,объяснить 2.2,Snom V Sacc Sins
4449,объяснить 3.1,Snom V Sacc
4450,объясняться 1.1,Snom V
4451,объясняться 1.2,Snom V с + Sins
4452,объясняться 2.1,Snom V
4453,объясняться 2.2,Snom V ADV
4454,объясняться 2.3,Snom V Sins
4455,объясняться 3.1,Snom V {ADV / на + Sloc}
4456,объясняться 3.2,Snom V Sins
4457,объясняться 3.3,Snom V с + Sins
4458,обыскать 1.1,Snom V Sacc
4459,обыскать 2.1,Snom V Sacc
4460,обязать 1.1,Snom V Sacc Vinf
4461,обязать 2.3,Snom V
4462,обязать 2.2,Snom V к + Sdat
4463,обязать 2.1,Snom V Sacc к + Sdat
4464,обязать 2.4,Snom V Sacc Vinf
4465,обязать 3.1,Snom V Sacc
4466,обязать 3.2,Snom V Sacc Sins
4467,обязать 3.3,Snom V Sacc если + CL
4468,овладеть 1.1,Snom V Sins
4469,овладеть 2.1,Snom V Sins
4470,овладеть 3.1,Snom V Sins
4471,овладеть 5.1,Snom V Sins
4472,оглядываться 1.1,Snom V
4473,оглядываться 1.2,Snom V {ADV / PRгде + Sx}
4474,оглядываться 2.1,Snom V
4475,оглядываться 2.2,Snom V {ADV / на + Sacc}
4476,оглядываться 3.1,Snom V на + Sacc
4477,оговорить 1.1,Snom V Sacc
4478,оговорить 2.1,Snom V Sacc
4479,оговорить 3.1,Snom V Sacc
4480,оговорить 3.2,Snom V что + CL
4481,оговорить 3.3,Snom V Rel + CL
4482,оговорить 3.4,Snom V {Sacc / что + CL / Rel + CL} в + Sloc
4483,оградить 1.1,Snom V Sacc
4484,оградить 1.2,Snom V Sacc от + Sgen
4485,оградить 2.1,Snom V Sacc
4486,оградить 2.2,Snom V Sacc Sins
4487,ограничить 1.1,Snom V Sacc
4488,ограничить 1.2,Snom V Sacc Sins
4489,ограничить 2.1,Snom V Sacc
4490,ограничиться 1.1,Snom V Sins
4491,ограничиться 2.1,Snom V Sins
4492,одержать 1.1,Snom V Sacc
4493,одержать 1.2,Snom V Sacc над + Sins
4494,одержать 1.3,Snom V Sacc в + Sloc
4495,одержать 1.4,Snom V Sacc на + Sloc
4496,одеть 1.1,Snom V Sacc
4497,одеть 1.2,Snom V Sacc в + Sacc
4498,одеть 1.3,Snom V Sacc Sins
4499,одеть 2.1,Snom V Sacc
4500,одеть 3.1,Snom V Sacc
4501,одеться 1.1,Snom V
4502,одеться 1.2,Snom V в + Sacc
4503,одеться 1.3,Snom V Sins
4504,одеться 2.1,Snom V {ADV / PR + Sx}
4505,одеться 2.2,Snom V у + Sgen
4506,одеться 3.1,Snom V в + Sacc
4507,одеться 3.2,Snom V Sins
4508,одобрять 1.1,Snom V Sacc
4509,одолеть 1.1,Snom V Sacc
4510,одолеть 1.2,Snom V Sacc в + Sloc
4511,одолеть 2.1,Snom V Sacc
4512,одолеть 3.1,Snom V Sacc
4513,одолеть 3.2,Snom V Sacc Sins
4514,одолеть 4.1,Snom V Sacc
4515,одолжить 1.1,Snom V Sacc
4516,одолжить 1.2,Snom V Sacc Sdat
4517,одолжить 1.3,Snom V Sacc PR + Sx
4518,ожидать 1.1,Snom V Sacc
4519,ожидать 1.2,Snom V Sgen
4520,ожидать 1.3,Snom V когда + CL
4521,ожидать 1.4,Snom V {Sacc / Sgen} {ADV / PRгде + Sx}
4522,ожидать 2.1,Snom V {Sacc / Sgen}
4523,ожидать 2.2,Snom V {Sacc / Sgen} {ADV / PR + Sx}
4524,ожидать 3.1,Snom V Sgen
4525,ожидать 3.2,Snom V Vinf
4526,ожидать 3.3,Snom V что + CL
4527,ожидать 3.4,Snom V {Sgen / что + CL} от + Sgen
4528,ожидать 4.1,Snom V Sacc
4529,ожидать 4.2,Snom V Sacc {ADV / PRгде + Sx}
4530,ожидать 5.1,Snom V Sacc
4531,ожить 1.1,Snom V
4532,ожить 2.1,Snom V
4533,ожить 3.1,Snom V в + Sloc
4534,означать 1.1,Snom V Sacc
4535,означать 1.3,Snom V что + CL
4536,означать 2.1,Snom V Sacc
4537,оказать 1.1,Snom V Sacc
4538,оказать 1.2,Snom V Sacc Sdat
4539,оказать 1.3,Snom V Sacc на + Sacc
4540,оказаться 1.1,Snom V {ADV / PRгде + Sx}
4541,оказаться 2.1,Snom V PR + Sx
4542,оказаться 2.2,Snom V на + Sloc
4543,оказаться 3.1,Snom V {ADV / PRгде + Sx}
4544,оказаться 4.1,Snom V {Ains / Acomp / Sins}
4545,оказаться 4.2,Vimpers что + CL
4546,окружить 1.1,Snom V Sacc
4547,окружить 1.2,Snom V Sacc с + Sgen
4548,окружить 2.1,Snom V Sacc
4549,окружить 2.2,Snom V Sacc с + Sgen
4550,окружить 3.1,Snom V Sacc Sins
4551,окружить 4.1,Snom V Sacc Sins
4552,окружить 5.1,Snom V Sacc Sins
4553,окружить 6.1,Snom V Sacc
4554,окружить 6.2,Snom V Sacc с + Sgen
4555,окружить 7.1,Snom V Sacc
4556,окунуть 1.1,Snom V Sacc
4557,окунуть 1.2,Snom V Sacc в + Sacc
4558,опасаться 1.1,Snom V Sgen
4559,опасаться 1.2,Snom V Vinf
4560,опасаться 2.1,Snom V за + Sacc
4561,опасаться 2.2,Snom V что + CL
4562,опасаться 2.3,Snom V как + бы + CL
4563,опираться 1.1,Snom V на + Sacc
4564,опираться 1.2,Snom V о + Sacc
4565,опираться 1.3,Snom V {на + Sacc / о + Sacc} Sins
4566,опираться 2.1,Snom V на + Sacc
4567,опираться 3.1,Snom V на + Sacc
4568,описать 1.1,Snom V Sacc
4569,описать 1.2,Snom V Sacc в + Sloc
4570,описать 2.1,Snom V Sacc
4571,описать 2.2,Snom V Sacc за + Sacc
4572,описать 3.1,Snom V Sacc
4573,описать 4.1,Vpass Snom
4574,описать 4.2,Snom V Sacc вокруг + Sgen
4575,опоздать 1.1,Snom V
4576,опоздать 1.2,Snom V {ADV / PRкуда + Sx}
4577,опоздать 1.3,Snom V к + Sdat
4578,опоздать 1.4,Snom V на + Sacc
4579,опоздать 1.5,Snom V на + Sacc
4580,опоздать 2.1,Snom V с + Sins
4581,опоздать 2.2,Snom V Vinf
4582,опомниться 1.1,Snom V
4583,опомниться 2.1,Snom V
4584,опомниться 2.2,Snom V от + Sgen
4585,опомниться 3.1,Snom V
4586,оправдывать 1.1,Snom V Sacc
4587,оправдывать 1.2,Snom V Sacc по + суду
4588,оправдывать 2.1,Snom V Sacc
4589,оправдывать 2.2,Snom V Sacc Sins
4590,оправдывать 3.1,Snom V Sacc
4591,оправдывать 4.1,Snom V Sacc
4592,оправдывать 5.1,Snom V Sacc
4593,оправдываться 1.1,Snom V
4594,оправдываться 1.2,Snom V Sins
4595,оправдываться 1.3,Snom V перед + Sins
4596,оправдываться 1.4,Snom V «CL»
4597,оправдываться 1.5,Snom V перед + Sins за + Sacc
4598,оправдываться 2.1,Snom V
4599,оправдываться 3.1,Snom V
4600,определить 1.1,Snom V Sacc
4601,определить 1.2,Snom V что + CL
4602,определить 1.3,Snom V Rel + CL
4603,определить 1.4,Snom V CLi
4604,определить 1.5,Snom V {Sacc / что + CL / Rel + CL / CL} по + Sdat
4605,определить 1.6,Snom V {Sacc / что + CL / Rel + CL / CL} {Sins / при + помощи + Sgen / с + помощью + Sgen}
4606,определить 2.1,Snom V Sacc
4607,определить 2.2,Snom V Sacc как + Sacc
4608,определить 3.1,Snom V Sacc
4609,определить 6.1,Snom V Sacc
4610,определить 5.1,Snom V Sacc к + Sdat
4611,определить 5.2,Snom V Sacc {в + Sacc / на + Sacc}
4612,определить 5.3,Snom V Sacc {к + Sdat / в + Sacc / на + Sacc} Sins
4613,опровергнуть 1.1,Snom V Sacc
4614,опровергнуть 1.2,Snom V Sacc Sins
4615,опрокинуть 1.1,Snom V Sacc
4616,опрокинуть 1.2,Snom V Sacc PRкуда + Sx
4617,опрокинуть 2.1,Snom V Sacc
4618,опрокинуть 2.2,Snom V Sacc PRкуда + Sx
4619,опрокинуть 2.3,Snom V Sacc {на + спину / навзничь}
4620,опрокинуть 3.1,Snom V Sacc
4621,опрокинуть 4.1,Snom V Sacc
4622,опрокинуть 5.1,Snom V Sacc
4623,опросить 1.1,Snom V Sacc
4624,опустить 1.1,Snom V Sacc
4625,опустить 1.2,Snom V Sacc {ADV / PRоткуда + Sx}
4626,опустить 1.3,Snom V Sacc {ADV / PRкуда + Sx}
4627,опустить 2.1,Snom V Sacc
4628,опустить 3.1,Snom V Sacc
4629,опустить 4.1,Snom V Sacc
4630,опустить 4.2,Snom V Sacc в + Sloc
4631,опуститься 1.1,Snom V
4632,опуститься 1.2,Snom V PRкуда + Sx
4633,опуститься 1.3,Snom V на + Sacc
4634,опуститься 4.1,Snom V
4635,опуститься 4.2,Snom V {ADV / PRкуда + Sx}
4636,опуститься 3.1,Snom V на + Sacc
4637,опуститься 3.2,Snom V над + Sins
4638,опуститься 6.1,Snom V
4639,опуститься 5.1,Snom V
4640,опуститься 5.2,Snom V у + Sgen
4641,опуститься 5.3,Snom V на + Sacc
4642,опуститься 5.4,Snom V на + Sacc Sdat
4643,опуститься 9.1,Snom V
4644,организовать 1.1,Snom V Sacc
4645,организовать 1.2,Snom V Sacc из + Sgen
4646,организовать 2.1,Snom V Sacc
4647,организовать 2.2,Snom V Sacc на + Sacc
4648,организовать 3.1,Snom V Sacc
4649,организовать 4.1,Snom V Sacc
4650,осадить 1.1,Snom V Sacc
4651,осадить 2.1,Snom V Sacc
4652,осадить 2.2,Snom V Sacc Sins
4653,осветить 1.1,Snom V Sacc
4654,осветить 1.2,Snom V Sacc Sins
4655,осветить 2.1,Snom V Sacc
4656,осветить 3.1,Snom V Sacc
4657,осветить 4.1,Snom V Sacc
4658,осветить 4.2,Snom V Sacc в + Sloc
4659,осветиться 1.1,Snom V
4660,осветиться 1.2,Snom V Sins
4661,осветиться 2.1,Snom V Sins
4662,осветиться 3.1,Snom V
4663,осветиться 3.2,Snom V Sins
4664,освободить 1.1,Snom V Sacc
4665,освободить 1.2,Snom V Sacc {из + Sgen / с + Sgen}
4666,освободить 1.3,Snom V Sacc из-под + Sgen
4667,освободить 2.1,Snom V Sacc
4668,освободить 2.2,Snom V Sacc от + Sgen
4669,освободить 3.1,Snom V Sacc
4670,освободить 3.2,Snom V Sacc от + Sgen
4671,освободить 4.1,Snom V Sacc от + Sgen
